'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.465,-0.030
1,-0.465,-0.020
2,-0.475,-0.030
3,-0.465,-0.040
4,-0.470,-0.020
5,-0.470,-0.030
6,-0.505,-0.040
7,-0.585,-0.035
8,-0.625,-0.045
9,-0.530,-0.140
10,0.050,-0.385
11,0.775,-0.470
12,0.640,-0.005
13,-0.480,0.545
14,-1.225,0.525
15,-0.980,-0.085
16,-0.660,-0.235
17,-0.510,-0.185
18,-0.480,-0.025
19,-0.455,-0.010
20,-0.455,0.015
21,-0.450,-0.005
22,-0.450,0.005
23,-0.440,0.005
24,-0.420,0.025
25,-0.415,0.005
26,-0.415,0.025
27,-0.390,0.025
28,-0.380,0.025
29,-0.355,0.030
30,-0.355,0.030
31,-0.330,0.030
32,-0.315,0.020
33,-0.295,0.020
34,-0.275,0.030
35,-0.225,0.020
36,-0.175,0.025
37,-0.130,0.025
38,-0.085,0.020
39,0.000,0.000
40,0.045,0.000
41,0.100,-0.010
42,0.105,-0.020
43,0.110,-0.015
44,0.095,-0.025
45,0.045,-0.025
46,-0.005,-0.010
47,-0.085,0.000
48,-0.135,0.010
49,-0.175,0.025
50,-0.225,0.000
51,-0.260,0.005
52,-0.295,0.000
53,-0.330,-0.005
54,-0.335,0.000
55,-0.335,0.005
56,-0.360,0.005
57,-0.355,0.005
58,-0.370,0.020
59,-0.355,0.000
60,-0.395,0.030
61,-0.380,0.015
62,-0.380,0.025
63,-0.385,0.010
64,-0.385,0.055
65,-0.410,0.020
66,-0.390,0.020
67,-0.390,0.015
68,-0.385,0.025
69,-0.355,0.030
70,-0.340,0.045
71,-0.320,0.050
72,-0.305,0.070
73,-0.285,0.075
74,-0.205,0.070
75,-0.185,0.070
76,-0.190,0.045
77,-0.175,0.025
78,-0.175,0.005
79,-0.190,-0.015
80,-0.285,-0.050
81,-0.335,0.000
82,-0.350,-0.010
83,-0.370,-0.020
84,-0.395,-0.030
85,-0.405,-0.050
86,-0.405,-0.055
87,-0.415,-0.045
88,-0.430,-0.060
89,-0.435,-0.045
90,-0.420,-0.055
91,-0.440,-0.045
92,-0.455,-0.060
93,-0.450,-0.045
94,-0.465,-0.065
95,-0.450,-0.065
96,-0.430,-0.070
97,-0.440,-0.055
98,-0.460,-0.075
99,-0.460,-0.080
100,-0.540,-0.070
101,-0.620,-0.110
102,-0.570,-0.180
103,-0.160,-0.380
104,0.565,-0.605
105,0.880,-0.340
106,0.015,0.320
107,-1.075,0.610
108,-1.185,0.140
109,-0.815,-0.285
110,-0.555,-0.300
111,-0.475,-0.190
112,-0.460,-0.080
113,-0.475,-0.040
114,-0.440,-0.050
115,-0.430,-0.045
116,-0.415,-0.030
117,-0.405,-0.025
118,-0.430,-0.030
119,-0.420,-0.025
120,-0.415,-0.050
121,-0.400,-0.020
122,-0.395,-0.030
123,-0.380,-0.030
124,-0.370,-0.045
125,-0.355,-0.010
126,-0.335,-0.030
127,-0.310,-0.060
128,-0.285,-0.040
129,-0.245,-0.055
130,-0.200,-0.045
131,-0.140,-0.035
132,-0.080,-0.075
133,-0.020,-0.080
134,0.030,-0.090
135,0.040,-0.105
136,0.070,-0.110
137,0.060,-0.105
138,0.045,-0.100
139,0.020,-0.115
140,-0.025,-0.075
141,-0.095,-0.060
142,-0.155,-0.055
143,-0.195,-0.060
144,-0.230,-0.065
145,-0.290,-0.050
146,-0.330,-0.050
147,-0.355,-0.050
148,-0.360,-0.050
149,-0.350,-0.035
150,-0.375,-0.055
151,-0.395,-0.025
152,-0.385,-0.020
153,-0.405,-0.030
154,-0.385,-0.030
155,-0.400,-0.025
156,-0.380,-0.035
157,-0.400,-0.035
158,-0.400,-0.035
159,-0.390,-0.025
160,-0.390,0.000
161,-0.380,-0.015
162,-0.380,-0.040
163,-0.390,-0.030
164,-0.365,-0.010
165,-0.355,-0.030
166,-0.320,-0.010
167,-0.335,0.010
168,-0.325,0.030
169,-0.265,0.035
170,-0.195,0.030
171,-0.175,0.035
172,-0.170,0.010
173,-0.140,-0.020
174,-0.155,-0.070
175,-0.205,-0.080
176,-0.280,-0.060
177,-0.320,-0.050
178,-0.355,-0.070
179,-0.385,-0.105
180,-0.385,-0.090
181,-0.385,-0.090
182,-0.395,-0.095
183,-0.400,-0.115
184,-0.410,-0.100
185,-0.405,-0.105
186,-0.405,-0.105
187,-0.400,-0.100
188,-0.410,-0.110
189,-0.420,-0.120
190,-0.430,-0.105
191,-0.420,-0.100
192,-0.415,-0.100
193,-0.415,-0.110
194,-0.445,-0.100
195,-0.545,-0.130
196,-0.600,-0.145
197,-0.490,-0.235
198,0.120,-0.495
199,0.855,-0.565
200,0.705,-0.115
201,-0.390,0.375
202,-1.135,0.440
203,-1.030,-0.135
204,-0.680,-0.380
205,-0.505,-0.340
206,-0.455,-0.145
207,-0.450,-0.120
208,-0.435,-0.100
209,-0.420,-0.080
210,-0.425,-0.095
211,-0.395,-0.090
212,-0.400,-0.080
213,-0.405,-0.105
214,-0.385,-0.070
215,-0.375,-0.075
216,-0.375,-0.105
217,-0.365,-0.100
