'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.245,-0.100
1,-0.245,-0.085
2,-0.230,-0.080
3,-0.215,-0.075
4,-0.225,-0.085
5,-0.215,-0.080
6,-0.225,-0.090
7,-0.210,-0.075
8,-0.205,-0.085
9,-0.200,-0.105
10,-0.210,-0.080
11,-0.190,-0.110
12,-0.205,-0.105
13,-0.165,-0.095
14,-0.160,-0.055
15,-0.160,-0.035
16,-0.135,-0.050
17,-0.060,-0.070
18,-0.025,-0.035
19,-0.040,-0.050
20,-0.025,-0.100
21,-0.025,-0.110
22,-0.065,-0.140
23,-0.115,-0.145
24,-0.165,-0.125
25,-0.195,-0.125
26,-0.195,-0.145
27,-0.215,-0.160
28,-0.215,-0.165
29,-0.230,-0.160
30,-0.225,-0.175
31,-0.230,-0.160
32,-0.235,-0.180
33,-0.225,-0.175
34,-0.245,-0.180
35,-0.245,-0.175
36,-0.260,-0.175
37,-0.265,-0.170
38,-0.255,-0.175
39,-0.270,-0.175
40,-0.275,-0.185
41,-0.400,-0.195
42,-0.455,-0.215
43,-0.365,-0.285
44,0.195,-0.525
45,0.950,-0.555
46,0.820,-0.100
47,-0.220,0.325
48,-0.990,0.415
49,-0.890,-0.160
50,-0.575,-0.355
51,-0.360,-0.315
52,-0.300,-0.215
53,-0.295,-0.145
54,-0.285,-0.155
55,-0.275,-0.130
56,-0.265,-0.140
57,-0.270,-0.145
58,-0.260,-0.140
59,-0.255,-0.155
60,-0.220,-0.155
61,-0.245,-0.140
62,-0.225,-0.145
63,-0.200,-0.140
64,-0.220,-0.135
65,-0.180,-0.145
66,-0.175,-0.140
67,-0.160,-0.135
68,-0.125,-0.150
69,-0.120,-0.155
70,-0.075,-0.140
71,-0.045,-0.145
72,0.005,-0.170
73,0.065,-0.195
74,0.120,-0.195
75,0.175,-0.210
76,0.195,-0.225
77,0.225,-0.205
78,0.210,-0.230
79,0.200,-0.200
80,0.175,-0.210
81,0.115,-0.195
82,0.045,-0.185
83,-0.010,-0.165
84,-0.070,-0.150
85,-0.110,-0.125
86,-0.150,-0.135
87,-0.175,-0.110
88,-0.195,-0.090
89,-0.205,-0.120
90,-0.215,-0.115
91,-0.235,-0.100
92,-0.230,-0.105
93,-0.240,-0.095
94,-0.235,-0.080
95,-0.250,-0.085
96,-0.250,-0.095
97,-0.265,-0.070
98,-0.250,-0.070
99,-0.235,-0.065
100,-0.245,-0.060
101,-0.255,-0.055
102,-0.245,-0.060
103,-0.240,-0.040
104,-0.255,-0.055
105,-0.245,-0.055
106,-0.235,-0.040
107,-0.230,-0.055
108,-0.230,-0.065
109,-0.215,-0.060
110,-0.200,-0.065
111,-0.185,-0.030
112,-0.185,-0.010
113,-0.170,0.015
114,-0.125,0.010
115,-0.055,0.000
116,-0.040,-0.015
117,-0.035,-0.045
118,-0.015,-0.070
119,-0.030,-0.110
120,-0.085,-0.135
121,-0.160,-0.085
122,-0.160,-0.085
123,-0.205,-0.110
124,-0.210,-0.095
125,-0.215,-0.100
126,-0.220,-0.090
127,-0.220,-0.105
128,-0.225,-0.090
129,-0.210,-0.095
130,-0.235,-0.110
131,-0.235,-0.080
132,-0.220,-0.095
133,-0.220,-0.095
134,-0.245,-0.095
135,-0.235,-0.100
136,-0.235,-0.090
137,-0.270,-0.080
138,-0.360,-0.095
139,-0.420,-0.110
140,-0.265,-0.225
141,0.330,-0.450
142,1.015,-0.430
143,0.740,0.150
144,-0.505,0.625
145,-1.040,0.365
146,-0.705,-0.160
147,-0.365,-0.205
148,-0.270,-0.140
149,-0.245,-0.070
150,-0.250,-0.040
151,-0.235,-0.060
152,-0.225,-0.070
153,-0.230,-0.050
154,-0.225,-0.060
155,-0.200,-0.050
156,-0.215,-0.040
157,-0.205,-0.055
158,-0.205,-0.060
159,-0.205,-0.050
160,-0.180,-0.050
161,-0.180,-0.040
162,-0.155,-0.040
163,-0.145,-0.035
164,-0.120,-0.050
165,-0.095,-0.060
166,-0.065,-0.065
167,-0.015,-0.055
168,0.020,-0.080
169,0.080,-0.085
170,0.125,-0.065
171,0.180,-0.110
172,0.220,-0.130
173,0.235,-0.100
174,0.230,-0.115
175,0.225,-0.140
176,0.160,-0.100
177,0.125,-0.095
178,0.055,-0.100
179,-0.010,-0.070
180,-0.050,-0.050
181,-0.105,-0.060
182,-0.145,-0.050
183,-0.155,-0.060
184,-0.165,-0.070
185,-0.190,-0.085
186,-0.205,-0.065
187,-0.205,-0.060
188,-0.205,-0.050
189,-0.215,-0.060
190,-0.220,-0.055
191,-0.230,-0.080
192,-0.230,-0.065
193,-0.240,-0.035
194,-0.225,-0.035
195,-0.225,-0.045
196,-0.220,-0.030
197,-0.235,-0.035
198,-0.240,-0.030
199,-0.235,-0.040
200,-0.240,-0.035
201,-0.215,-0.055
202,-0.215,-0.040
203,-0.215,-0.030
204,-0.215,-0.030
205,-0.205,-0.045
206,-0.175,-0.015
207,-0.160,0.020
208,-0.145,0.000
209,-0.070,-0.010
210,-0.030,0.045
211,-0.040,-0.005
212,-0.025,-0.045
213,-0.035,-0.065
214,-0.055,-0.105
215,-0.145,-0.085
216,-0.150,-0.075
217,-0.190,-0.065
218,-0.210,-0.090
219,-0.210,-0.085
220,-0.215,-0.080
221,-0.225,-0.070
222,-0.235,-0.085
223,-0.245,-0.095
224,-0.220,-0.075
225,-0.220,-0.110
226,-0.225,-0.085
227,-0.235,-0.085
228,-0.225,-0.095
229,-0.250,-0.080
230,-0.240,-0.075
231,-0.265,-0.070
232,-0.380,-0.100
233,-0.400,-0.120
234,-0.190,-0.270
235,0.490,-0.505
236,1.090,-0.355
237,0.325,0.225
238,-0.795,0.555
239,-0.940,0.125
240,-0.640,-0.230
241,-0.325,-0.240
242,-0.265,-0.140
243,-0.245,-0.090
244,-0.230,-0.050
245,-0.225,-0.065
246,-0.225,-0.065
247,-0.205,-0.075
248,-0.210,-0.060
249,-0.195,-0.050
250,-0.215,-0.050
251,-0.190,-0.070
252,-0.185,-0.080
253,-0.180,-0.075
254,-0.155,-0.070
255,-0.130,-0.070
256,-0.125,-0.060
257,-0.115,-0.080
258,-0.065,-0.085
259,-0.050,-0.095
260,-0.015,-0.100
261,0.020,-0.105
262,0.070,-0.120
263,0.135,-0.145
264,0.170,-0.130
265,0.220,-0.175
266,0.220,-0.190
267,0.225,-0.170
268,0.220,-0.165
269,0.180,-0.160
270,0.120,-0.145
271,0.055,-0.125
272,-0.005,-0.140
273,-0.050,-0.110
274,-0.080,-0.115
275,-0.115,-0.090
276,-0.160,-0.070
277,-0.185,-0.100
278,-0.200,-0.075
279,-0.235,-0.085
280,-0.225,-0.080
281,-0.250,-0.080
282,-0.255,-0.080
283,-0.255,-0.075
284,-0.250,-0.075
285,-0.245,-0.075
286,-0.240,-0.090
287,-0.250,-0.090
288,-0.270,-0.105
289,-0.270,-0.095
290,-0.250,-0.115
291,-0.270,-0.090
292,-0.270,-0.100
293,-0.260,-0.100
294,-0.265,-0.110
295,-0.250,-0.080
296,-0.240,-0.120
297,-0.250,-0.120
298,-0.235,-0.115
299,-0.250,-0.130
300,-0.235,-0.130
301,-0.205,-0.095
302,-0.200,-0.050
303,-0.195,-0.055
304,-0.110,-0.075
305,-0.095,-0.040
306,-0.100,-0.100
307,-0.085,-0.105
308,-0.070,-0.125
309,-0.110,-0.170
310,-0.185,-0.155
311,-0.220,-0.125
312,-0.250,-0.145
313,-0.260,-0.165
314,-0.280,-0.155
315,-0.270,-0.155
316,-0.290,-0.160
317,-0.300,-0.140
318,-0.300,-0.165
319,-0.310,-0.150
320,-0.320,-0.165
321,-0.330,-0.170
322,-0.325,-0.160
323,-0.305,-0.170
324,-0.300,-0.165
325,-0.305,-0.180
326,-0.310,-0.175
327,-0.415,-0.165
328,-0.485,-0.175
329,-0.395,-0.265
330,0.125,-0.480
331,0.885,-0.555
332,0.885,-0.095
333,-0.235,0.390
334,-1.045,0.460
335,-0.905,-0.145
336,-0.535,-0.335
337,-0.355,-0.285
338,-0.345,-0.150
