'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.530,-0.050
1,-0.545,-0.070
2,-0.535,-0.045
3,-0.525,-0.055
4,-0.510,-0.025
5,-0.510,-0.040
6,-0.525,-0.025
7,-0.545,-0.035
8,-0.535,-0.010
9,-0.545,-0.030
10,-0.525,-0.035
11,-0.515,-0.005
12,-0.530,0.000
13,-0.490,0.000
14,-0.410,0.020
15,-0.385,0.085
16,-0.370,0.125
17,-0.340,0.180
18,-0.280,0.205
19,-0.295,0.120
20,-0.325,0.100
21,-0.375,0.055
22,-0.410,0.000
23,-0.425,-0.005
24,-0.530,0.005
25,-0.600,0.020
26,-0.605,-0.015
27,-0.605,-0.050
28,-0.620,-0.040
29,-0.615,-0.040
30,-0.600,-0.035
31,-0.590,-0.050
32,-0.575,-0.015
33,-0.610,-0.015
34,-0.690,-0.010
35,-0.715,-0.015
36,-0.645,-0.090
37,-0.395,-0.340
38,-0.645,-0.395
39,-0.785,-0.410
40,-1.465,0.235
41,-2.315,0.535
42,-2.775,-1.505
43,-3.035,-2.585
44,-2.735,-2.340
45,-2.345,-1.805
46,-1.710,-1.035
47,-0.940,-0.595
48,-0.560,-0.150
49,-0.475,0.080
50,-0.405,0.115
51,-0.355,0.130
52,-0.355,0.125
53,-0.335,0.120
54,-0.350,0.145
55,-0.330,0.140
56,-0.320,0.125
57,-0.330,0.150
58,-0.310,0.155
59,-0.305,0.150
60,-0.275,0.175
61,-0.240,0.160
62,-0.220,0.195
63,-0.180,0.230
64,-0.165,0.240
65,-0.125,0.315
66,-0.040,0.340
67,0.000,0.395
68,0.055,0.455
69,0.115,0.490
70,0.160,0.555
71,0.225,0.605
72,0.240,0.650
73,0.290,0.700
74,0.310,0.735
75,0.300,0.755
76,0.325,0.770
77,0.325,0.810
78,0.305,0.850
79,0.320,0.890
80,0.270,0.905
81,0.255,0.910
82,0.195,0.900
83,0.105,0.910
84,0.055,0.880
85,-0.050,0.855
86,-0.115,0.820
87,-0.190,0.775
88,-0.260,0.710
89,-0.285,0.655
90,-0.345,0.555
91,-0.370,0.515
92,-0.375,0.440
93,-0.395,0.400
94,-0.415,0.365
95,-0.420,0.315
96,-0.425,0.300
97,-0.440,0.270
98,-0.435,0.250
99,-0.460,0.210
100,-0.460,0.220
101,-0.475,0.155
102,-0.490,0.150
103,-0.495,0.120
104,-0.520,0.100
105,-0.510,0.095
106,-0.515,0.060
107,-0.530,0.040
108,-0.525,0.050
109,-0.520,0.030
110,-0.535,0.040
111,-0.530,0.025
112,-0.550,0.050
113,-0.510,0.040
114,-0.520,0.020
115,-0.540,0.010
116,-0.505,0.010
117,-0.545,0.000
118,-0.540,0.005
119,-0.510,0.015
120,-0.530,0.005
121,-0.515,0.025
122,-0.515,0.025
