'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,0.045,-0.005
1,0.055,-0.080
2,0.080,-0.155
3,0.065,-0.245
4,0.090,-0.330
5,0.110,-0.395
6,0.090,-0.395
7,0.050,-0.520
8,0.030,-0.575
9,0.005,-0.550
10,-0.020,-0.515
11,-0.035,-0.485
12,-0.055,-0.455
13,-0.110,-0.480
14,-0.110,-0.400
15,-0.085,-0.325
16,-0.060,-0.260
17,-0.090,-0.215
18,-0.100,-0.225
19,-0.085,-0.215
20,-0.085,-0.210
21,-0.075,-0.235
22,-0.070,-0.235
23,-0.095,-0.240
24,-0.100,-0.215
25,-0.100,-0.165
26,-0.100,-0.160
27,-0.090,-0.095
28,-0.080,-0.045
29,-0.035,-0.080
30,0.005,-0.050
31,0.025,0.000
32,0.025,0.100
33,-0.015,0.290
34,-0.085,0.260
35,-0.095,0.260
36,-0.160,0.215
37,-0.165,0.105
38,-0.155,-0.035
39,-0.175,-0.195
40,-0.225,-0.315
41,-0.250,-0.400
42,-0.250,-0.380
43,-0.230,-0.360
44,-0.230,-0.380
45,-0.225,-0.460
46,-0.265,-0.480
47,-0.245,-0.395
48,-0.230,-0.400
49,-0.240,-0.365
50,-0.240,-0.385
51,-0.250,-0.405
52,-0.190,-0.265
53,-0.565,-0.190
54,-1.430,0.360
55,-1.670,1.280
56,-1.555,0.225
57,-1.200,-0.700
58,-0.660,-0.915
59,-0.465,-1.025
60,-0.190,-0.705
61,-0.045,-0.390
62,-0.045,-0.130
63,-0.035,-0.065
64,-0.060,-0.020
65,-0.025,-0.020
66,-0.025,0.030
67,-0.040,-0.020
68,-0.030,-0.010
69,-0.015,0.000
70,-0.005,0.015
71,0.000,-0.020
72,0.000,-0.105
73,0.015,-0.130
74,0.030,-0.140
75,0.045,-0.155
76,0.040,-0.255
77,0.040,-0.375
78,0.035,-0.465
79,0.025,-0.495
80,0.055,-0.540
81,0.025,-0.560
82,-0.005,-0.640
83,-0.085,-0.685
84,-0.100,-0.605
85,-0.100,-0.545
86,-0.120,-0.510
87,-0.125,-0.425
88,-0.140,-0.440
89,-0.125,-0.410
90,-0.120,-0.310
91,-0.100,-0.240
92,-0.080,-0.220
93,-0.085,-0.240
94,-0.085,-0.240
95,-0.085,-0.190
96,-0.075,-0.165
97,-0.085,-0.115
98,-0.080,-0.120
99,-0.105,-0.170
100,-0.090,-0.160
101,-0.085,-0.140
102,-0.050,-0.090
103,0.010,0.015
104,0.045,-0.020
105,0.045,-0.010
106,0.025,0.140
107,-0.025,0.305
108,-0.075,0.335
109,-0.110,0.270
110,-0.145,0.155
111,-0.155,0.045
112,-0.120,-0.070
113,-0.145,-0.225
114,-0.180,-0.325
115,-0.185,-0.425
116,-0.205,-0.425
117,-0.185,-0.410
118,-0.190,-0.385
119,-0.195,-0.375
120,-0.200,-0.385
121,-0.200,-0.410
122,-0.205,-0.395
123,-0.185,-0.365
124,-0.200,-0.325
125,-0.185,-0.290
126,-0.265,-0.340
127,-1.135,-0.360
128,-1.780,0.140
129,-1.855,0.715
130,-1.705,-0.610
131,-1.235,-0.905
132,-0.680,-1.025
133,-0.280,-0.830
134,-0.020,-0.570
135,0.025,-0.245
136,0.025,-0.035
137,0.000,-0.045
138,0.035,-0.015
139,0.035,0.025
140,0.055,0.065
141,0.070,0.075
142,0.070,0.055
143,0.075,0.035
144,0.120,0.040
145,0.125,0.055
146,0.125,0.035
147,0.145,0.005
148,0.170,-0.075
149,0.195,-0.130
150,0.200,-0.150
151,0.210,-0.180
152,0.200,-0.235
153,0.180,-0.335
154,0.170,-0.370
155,0.185,-0.370
156,0.170,-0.340
157,0.110,-0.335
158,0.075,-0.340
159,0.050,-0.315
160,0.035,-0.270
161,0.010,-0.205
162,0.005,-0.145
163,-0.005,-0.150
164,-0.005,-0.180
165,-0.020,-0.195
166,-0.010,-0.155
167,0.000,-0.140
168,-0.015,-0.135
169,-0.015,-0.175
170,-0.005,-0.165
171,-0.025,-0.135
172,-0.010,-0.110
173,0.000,-0.085
174,-0.030,-0.105
175,0.000,-0.085
176,0.055,-0.020
177,0.095,0.045
178,0.095,0.145
179,0.085,0.200
180,0.050,0.330
181,-0.040,0.375
182,-0.035,0.350
183,-0.055,0.295
184,-0.085,0.185
185,-0.085,-0.005
186,-0.085,-0.175
187,-0.115,-0.280
188,-0.125,-0.295
189,-0.125,-0.305
190,-0.140,-0.320
191,-0.155,-0.370
192,-0.140,-0.370
193,-0.140,-0.300
194,-0.130,-0.275
195,-0.165,-0.300
196,-0.140,-0.350
197,-0.170,-0.340
198,-0.130,-0.275
199,-0.170,-0.210
200,-0.915,-0.340
201,-1.675,-0.035
202,-1.875,0.390
203,-1.805,-0.640
204,-1.345,-1.005
205,-0.665,-0.940
206,-0.265,-0.795
207,0.005,-0.490
208,0.020,-0.160
209,0.040,0.000
210,0.045,0.045
211,0.045,0.030
