'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.135,-0.110
1,-0.135,-0.105
2,-0.120,-0.085
3,-0.120,-0.080
4,-0.100,-0.075
5,-0.100,-0.075
6,-0.100,-0.070
7,-0.100,-0.070
8,-0.120,-0.075
9,-0.140,-0.100
10,-0.135,-0.110
11,-0.125,-0.100
12,-0.105,-0.085
13,-0.110,-0.085
14,-0.145,-0.110
15,-0.170,-0.130
16,-0.180,-0.140
17,-0.185,-0.135
18,-0.185,-0.135
19,-0.180,-0.140
20,-0.180,-0.140
21,-0.170,-0.140
22,-0.175,-0.140
23,-0.175,-0.140
24,-0.175,-0.140
25,-0.175,-0.125
26,-0.065,-0.075
27,0.270,0.030
28,0.735,0.160
29,0.890,0.180
30,0.500,0.090
31,-0.020,0.060
32,-0.125,0.140
33,-0.140,0.115
34,-0.175,0.055
35,-0.175,0.030
36,-0.165,0.010
37,-0.155,-0.010
38,-0.155,-0.045
39,-0.150,-0.085
40,-0.140,-0.095
41,-0.135,-0.095
42,-0.125,-0.095
43,-0.120,-0.095
44,-0.115,-0.095
45,-0.095,-0.095
46,-0.095,-0.085
47,-0.085,-0.080
48,-0.075,-0.080
49,-0.050,-0.075
50,-0.040,-0.075
51,-0.015,-0.065
52,0.000,-0.065
53,0.015,-0.045
54,0.040,-0.040
55,0.075,-0.025
56,0.100,-0.020
57,0.130,-0.005
58,0.160,0.000
59,0.190,0.010
60,0.200,0.025
61,0.200,0.035
62,0.200,0.045
63,0.185,0.055
64,0.160,0.045
65,0.125,0.030
66,0.095,0.015
67,0.060,0.000
68,0.025,-0.010
69,0.005,-0.030
70,0.000,-0.040
71,-0.020,-0.050
72,-0.040,-0.060
73,-0.055,-0.075
74,-0.070,-0.080
75,-0.075,-0.085
76,-0.095,-0.095
77,-0.095,-0.100
78,-0.105,-0.100
79,-0.110,-0.110
80,-0.120,-0.115
81,-0.125,-0.110
82,-0.135,-0.120
83,-0.140,-0.120
84,-0.145,-0.125
85,-0.150,-0.130
86,-0.150,-0.130
87,-0.150,-0.125
88,-0.140,-0.110
89,-0.135,-0.105
90,-0.120,-0.095
91,-0.120,-0.095
92,-0.115,-0.095
93,-0.115,-0.095
94,-0.115,-0.090
95,-0.135,-0.100
96,-0.165,-0.125
97,-0.170,-0.135
98,-0.145,-0.115
99,-0.125,-0.105
100,-0.125,-0.105
101,-0.150,-0.125
