'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,0.015,0.015
1,0.015,0.015
2,0.015,0.010
3,0.015,0.005
4,0.015,0.005
5,0.015,0.000
6,0.015,0.000
7,0.015,0.000
8,0.015,0.000
9,0.015,-0.005
10,0.015,-0.010
11,0.015,-0.010
12,0.015,-0.015
13,0.015,-0.020
14,0.015,-0.020
15,0.015,-0.020
16,0.010,-0.025
17,0.010,-0.025
18,0.010,-0.020
19,0.010,-0.020
20,0.015,-0.020
21,0.015,-0.020
22,0.015,-0.025
23,0.015,-0.020
24,0.015,-0.020
25,0.015,-0.020
26,0.015,-0.020
27,0.015,-0.015
28,0.015,-0.015
29,0.015,-0.015
30,0.015,-0.015
31,0.015,-0.015
32,0.015,-0.015
33,0.015,-0.015
34,0.015,-0.010
35,0.015,-0.005
36,0.015,-0.005
37,0.015,-0.005
38,0.015,0.000
39,0.020,0.000
40,0.030,0.005
41,0.050,0.020
42,0.070,0.040
43,0.080,0.050
44,0.070,0.065
45,0.050,0.075
46,0.030,0.090
47,0.020,0.095
48,0.010,0.085
49,0.010,0.055
50,0.005,0.035
51,0.005,0.010
52,0.010,-0.005
53,0.015,-0.025
54,0.015,-0.035
55,0.015,-0.040
56,0.030,-0.050
57,0.075,-0.070
58,0.140,-0.045
59,0.175,0.105
60,0.095,0.455
61,-0.105,0.865
62,-0.325,1.010
63,-0.470,0.690
64,-0.500,0.170
65,-0.405,-0.150
66,-0.225,-0.200
67,-0.060,-0.140
68,0.020,-0.090
69,0.055,-0.075
70,0.065,-0.070
71,0.065,-0.065
72,0.065,-0.060
73,0.065,-0.060
74,0.065,-0.060
75,0.070,-0.060
76,0.075,-0.055
77,0.075,-0.055
78,0.075,-0.050
79,0.080,-0.040
80,0.080,-0.025
81,0.080,-0.015
82,0.080,-0.005
83,0.080,0.000
84,0.090,0.005
85,0.095,0.020
86,0.095,0.020
87,0.100,0.035
88,0.105,0.050
89,0.110,0.055
90,0.110,0.070
91,0.115,0.090
92,0.120,0.105
93,0.125,0.115
94,0.130,0.125
95,0.130,0.140
96,0.130,0.150
97,0.130,0.160
98,0.130,0.170
99,0.130,0.175
100,0.130,0.185
101,0.130,0.190
102,0.130,0.195
103,0.130,0.200
104,0.130,0.205
105,0.125,0.205
106,0.115,0.195
107,0.110,0.185
108,0.105,0.165
109,0.100,0.140
110,0.095,0.115
111,0.080,0.095
112,0.065,0.070
113,0.055,0.055
114,0.045,0.045
115,0.035,0.040
116,0.025,0.035
117,0.020,0.025
118,0.015,0.015
119,0.015,0.010
120,0.015,0.010
121,0.015,0.005
122,0.015,0.000
123,0.015,0.000
124,0.015,0.000
125,0.015,-0.010
126,0.015,-0.010
127,0.015,-0.015
128,0.015,-0.020
129,0.015,-0.020
130,0.015,-0.020
131,0.015,-0.025
132,0.010,-0.025
133,0.005,-0.030
134,0.005,-0.030
135,0.000,-0.035
136,0.000,-0.040
137,0.000,-0.045
138,0.000,-0.040
139,0.005,-0.040
140,0.010,-0.045
141,0.010,-0.045
142,0.010,-0.045
143,0.015,-0.040
144,0.015,-0.040
145,0.015,-0.040
146,0.015,-0.045
147,0.015,-0.040
148,0.015,-0.030
149,0.015,-0.030
150,0.015,-0.030
151,0.015,-0.035
152,0.015,-0.035
153,0.015,-0.035
154,0.015,-0.030
155,0.015,-0.030
156,0.015,-0.030
157,0.015,-0.030
158,0.015,-0.030
159,0.015,-0.030
160,0.015,-0.025
161,0.015,-0.020
162,0.015,-0.020
163,0.020,-0.015
164,0.025,-0.005
165,0.045,0.005
166,0.065,0.025
167,0.070,0.035
168,0.055,0.045
169,0.025,0.055
170,0.010,0.065
171,0.010,0.065
172,0.005,0.060
