'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,0.010,0.010
1,0.015,0.015
2,0.020,0.020
3,0.015,0.015
4,0.005,0.005
5,0.000,0.000
6,0.010,0.015
7,0.035,0.040
8,0.040,0.045
9,0.030,0.035
10,0.035,0.040
11,0.055,0.060
12,0.080,0.085
13,0.100,0.105
14,0.100,0.110
15,0.080,0.090
16,0.065,0.070
17,0.075,0.080
18,0.085,0.090
19,0.070,0.075
20,0.035,0.040
21,0.010,0.015
22,0.005,0.005
23,0.000,0.000
24,0.000,0.000
25,-0.005,0.000
26,-0.015,-0.010
27,-0.010,-0.010
28,0.000,0.000
29,0.000,0.005
30,0.000,0.005
31,0.015,0.020
32,0.065,0.075
33,0.175,0.185
34,0.310,0.325
35,0.370,0.385
36,0.245,0.255
37,0.025,0.025
38,-0.100,-0.100
39,-0.080,-0.075
40,0.000,0.000
41,0.035,0.040
42,0.035,0.040
43,0.030,0.035
44,0.020,0.020
45,0.020,0.020
46,0.025,0.025
47,0.030,0.035
48,0.035,0.040
49,0.040,0.040
50,0.050,0.055
51,0.055,0.060
52,0.055,0.065
53,0.055,0.065
54,0.055,0.060
55,0.040,0.045
56,0.025,0.030
57,0.020,0.025
58,0.020,0.025
59,0.035,0.040
60,0.045,0.050
61,0.055,0.060
62,0.075,0.075
63,0.085,0.090
64,0.075,0.085
65,0.060,0.065
66,0.050,0.055
67,0.045,0.050
68,0.035,0.040
69,0.020,0.025
70,0.015,0.020
71,0.020,0.020
72,0.020,0.020
73,0.020,0.020
74,0.015,0.015
75,0.010,0.010
76,0.010,0.010
77,0.015,0.020
78,0.030,0.035
79,0.030,0.035
80,0.020,0.025
81,0.010,0.015
82,0.005,0.005
83,0.000,0.005
84,0.000,0.005
85,0.005,0.010
86,0.010,0.010
87,0.015,0.015
88,0.005,0.010
89,0.000,0.005
90,0.000,0.000
91,0.000,0.000
92,-0.010,-0.005
93,-0.020,-0.010
94,-0.005,0.000
95,0.000,0.000
96,-0.005,0.000
97,-0.010,-0.005
98,-0.005,-0.005
99,-0.005,0.000
100,0.000,0.000
101,0.000,0.005
102,0.000,0.000
103,0.000,0.000
104,-0.005,-0.005
105,-0.005,-0.005
106,-0.015,-0.015
107,-0.020,-0.020
108,-0.015,-0.015
109,-0.005,-0.005
110,0.000,0.000
111,0.000,0.000
112,-0.005,0.000
113,-0.005,0.000
114,0.015,0.020
115,0.045,0.050
116,0.040,0.050
117,0.025,0.030
118,0.015,0.015
119,0.010,0.015
120,0.020,0.025
121,0.045,0.050
122,0.115,0.120
123,0.235,0.245
124,0.380,0.395
125,0.445,0.465
126,0.340,0.355
127,0.105,0.110
128,-0.055,-0.055
129,-0.055,-0.050
130,0.005,0.010
131,0.040,0.045
132,0.045,0.050
133,0.045,0.050
134,0.045,0.050
135,0.050,0.050
136,0.045,0.045
137,0.040,0.045
138,0.040,0.045
139,0.030,0.040
140,0.025,0.025
141,0.020,0.025
142,0.020,0.020
143,0.020,0.020
144,0.030,0.035
145,0.045,0.050
146,0.045,0.050
147,0.035,0.040
