'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.185,-0.115
1,-0.175,-0.115
2,-0.125,-0.065
3,-0.115,-0.085
4,-0.135,-0.115
5,-0.025,-0.075
6,0.005,-0.105
7,-0.065,-0.125
8,-0.105,-0.125
9,-0.135,-0.125
10,-0.165,-0.135
11,-0.205,-0.145
12,-0.205,-0.135
13,-0.215,-0.145
14,-0.205,-0.125
15,-0.215,-0.135
16,-0.205,-0.135
17,-0.195,-0.125
18,-0.215,-0.125
19,-0.215,-0.135
20,-0.195,-0.135
21,-0.195,-0.125
22,-0.185,-0.135
23,-0.195,-0.125
24,-0.175,-0.125
25,-0.115,-0.095
26,-0.285,0.045
27,-0.615,0.045
28,-0.425,-0.055
29,1.055,-0.865
30,2.235,-0.515
31,2.755,-0.435
32,2.055,-0.525
33,0.385,-0.225
34,-0.105,-0.035
35,-0.045,-0.015
36,-0.085,-0.045
37,-0.145,-0.045
38,-0.185,-0.045
39,-0.215,-0.045
40,-0.225,-0.045
41,-0.205,-0.045
42,-0.225,-0.045
43,-0.225,-0.055
44,-0.215,-0.065
45,-0.215,-0.055
46,-0.195,-0.055
47,-0.195,-0.065
48,-0.195,-0.065
49,-0.165,-0.045
50,-0.165,-0.055
51,-0.155,-0.065
52,-0.135,-0.065
53,-0.125,-0.055
54,-0.105,-0.045
55,-0.095,-0.055
56,-0.065,-0.055
57,-0.025,-0.045
58,0.005,-0.045
59,0.035,-0.055
60,0.095,-0.035
61,0.135,-0.035
62,0.185,-0.025
63,0.235,-0.045
64,0.285,-0.035
65,0.335,-0.015
66,0.375,-0.015
67,0.405,-0.015
68,0.435,0.015
69,0.435,0.025
70,0.375,0.035
71,0.275,0.015
72,0.175,0.005
73,0.075,-0.005
74,-0.035,-0.025
75,-0.115,-0.055
76,-0.165,-0.045
77,-0.195,-0.055
78,-0.215,-0.035
79,-0.225,-0.065
80,-0.235,-0.055
81,-0.215,-0.035
82,-0.235,-0.045
83,-0.235,-0.045
84,-0.225,-0.035
85,-0.225,-0.045
86,-0.215,-0.035
87,-0.225,-0.045
88,-0.225,-0.045
89,-0.195,-0.025
90,-0.215,-0.035
91,-0.225,-0.045
92,-0.215,-0.055
93,-0.215,-0.045
94,-0.215,-0.045
95,-0.225,-0.065
96,-0.215,-0.055
97,-0.215,-0.045
98,-0.225,-0.065
99,-0.235,-0.075
100,-0.245,-0.065
101,-0.245,-0.065
102,-0.245,-0.075
103,-0.255,-0.085
104,-0.255,-0.075
105,-0.235,-0.075
106,-0.255,-0.075
107,-0.265,-0.085
108,-0.255,-0.085
109,-0.255,-0.095
110,-0.245,-0.085
111,-0.265,-0.095
112,-0.255,-0.095
113,-0.235,-0.075
114,-0.255,-0.075
115,-0.255,-0.075
116,-0.245,-0.085
117,-0.195,-0.035
118,-0.145,-0.025
119,-0.165,-0.075
120,-0.135,-0.065
121,-0.025,-0.045
122,-0.105,-0.105
123,-0.165,-0.095
124,-0.195,-0.105
125,-0.205,-0.125
126,-0.235,-0.095
127,-0.255,-0.095
128,-0.255,-0.105
129,-0.235,-0.095
130,-0.255,-0.095
131,-0.255,-0.105
132,-0.265,-0.105
133,-0.255,-0.105
134,-0.245,-0.095
135,-0.255,-0.105
136,-0.245,-0.095
137,-0.235,-0.095
138,-0.215,-0.095
139,-0.205,-0.025
140,-0.445,0.145
141,-0.705,0.195
142,-0.135,-0.555
143,1.615,-1.345
144,2.515,-0.565
145,2.755,-0.575
146,1.045,-0.275
147,-0.095,-0.015
148,-0.095,0.045
149,-0.125,0.015
150,-0.185,0.005
151,-0.245,-0.005
152,-0.255,0.005
153,-0.245,0.025
154,-0.265,0.015
155,-0.275,0.005
156,-0.265,0.015
157,-0.265,0.015
158,-0.245,0.025
159,-0.255,0.005
160,-0.235,0.015
161,-0.215,0.035
162,-0.225,0.025
163,-0.225,0.015
164,-0.205,0.025
165,-0.185,0.025
166,-0.165,0.035
167,-0.165,0.025
168,-0.135,0.035
169,-0.085,0.055
170,-0.075,0.045
171,-0.055,0.045
172,-0.005,0.055
173,0.035,0.075
174,0.095,0.085
175,0.145,0.075
176,0.205,0.085
177,0.275,0.105
178,0.315,0.105
179,0.355,0.095
180,0.415,0.105
181,0.445,0.115
182,0.455,0.125
183,0.385,0.105
184,0.305,0.095
185,0.205,0.075
186,0.075,0.035
187,-0.055,0.005
188,-0.135,-0.015
189,-0.175,-0.005
190,-0.205,-0.015
191,-0.225,-0.035
192,-0.235,-0.035
193,-0.225,-0.025
194,-0.235,-0.035
195,-0.235,-0.045
196,-0.225,-0.035
197,-0.225,-0.025
198,-0.225,-0.025
199,-0.235,-0.035
200,-0.225,-0.035
201,-0.215,-0.005
202,-0.215,-0.015
203,-0.225,-0.025
204,-0.215,-0.015
205,-0.205,-0.025
206,-0.205,-0.015
207,-0.225,-0.025
208,-0.215,-0.025
209,-0.195,-0.015
210,-0.225,-0.035
211,-0.235,-0.045
212,-0.225,-0.045
213,-0.225,-0.045
214,-0.235,-0.045
215,-0.245,-0.065
216,-0.235,-0.065
217,-0.215,-0.045
218,-0.235,-0.065
219,-0.245,-0.075
220,-0.235,-0.065
221,-0.235,-0.075
222,-0.235,-0.065
223,-0.245,-0.075
224,-0.245,-0.075
225,-0.215,-0.065
226,-0.235,-0.065
227,-0.255,-0.085
228,-0.235,-0.075
229,-0.225,-0.075
230,-0.225,-0.065
231,-0.225,-0.065
232,-0.235,-0.085
233,-0.175,-0.025
234,-0.135,-0.015
235,-0.145,-0.065
236,-0.105,-0.045
237,-0.015,-0.045
238,-0.055,-0.085
239,-0.135,-0.085
240,-0.165,-0.085
241,-0.165,-0.095
242,-0.205,-0.085
243,-0.235,-0.085
244,-0.235,-0.105
245,-0.235,-0.105
246,-0.225,-0.085
247,-0.225,-0.105
248,-0.215,-0.095
249,-0.205,-0.085
250,-0.225,-0.095
251,-0.225,-0.105
252,-0.225,-0.095
253,-0.225,-0.095
254,-0.205,-0.085
255,-0.195,-0.095
256,-0.155,-0.045
257,-0.345,0.155
258,-0.675,0.165
259,-0.375,-0.265
260,1.285,-1.235
261,2.345,-0.685
262,2.815,-0.485
263,1.865,-0.525
264,0.255,-0.095
265,-0.085,0.055
266,-0.055,0.025
267,-0.135,0.005
268,-0.185,0.005
269,-0.215,-0.005
270,-0.225,0.005
271,-0.235,-0.005
272,-0.225,0.005
273,-0.205,0.015
274,-0.215,0.005
275,-0.235,-0.015
276,-0.225,-0.005
277,-0.205,0.005
278,-0.205,0.015
279,-0.205,-0.005
280,-0.185,-0.005
281,-0.155,0.015
282,-0.165,0.005
283,-0.155,-0.005
284,-0.125,0.005
285,-0.105,0.005
286,-0.085,0.005
287,-0.055,0.005
288,-0.025,0.015
289,0.025,0.035
290,0.055,0.035
291,0.105,0.025
292,0.175,0.035
293,0.225,0.045
294,0.275,0.045
295,0.315,0.055
296,0.375,0.055
297,0.425,0.085
298,0.455,0.075
299,0.485,0.065
300,0.485,0.075
301,0.415,0.065
302,0.315,0.055
303,0.195,0.025
304,0.075,0.005
305,-0.005,-0.015
306,-0.095,-0.025
307,-0.145,-0.065
308,-0.155,-0.065
309,-0.165,-0.065
310,-0.185,-0.055
311,-0.195,-0.075
312,-0.205,-0.065
313,-0.165,-0.045
314,-0.175,-0.055
315,-0.195,-0.065
316,-0.175,-0.065
317,-0.175,-0.055
318,-0.175,-0.045
319,-0.185,-0.065
320,-0.175,-0.065
321,-0.155,-0.045
322,-0.165,-0.055
323,-0.185,-0.075
324,-0.165,-0.075
325,-0.175,-0.065
326,-0.175,-0.065
327,-0.185,-0.085
328,-0.185,-0.095
329,-0.175,-0.075
330,-0.185,-0.085
331,-0.185,-0.105
332,-0.195,-0.085
333,-0.195,-0.095
334,-0.195,-0.105
335,-0.205,-0.115
336,-0.205,-0.105
337,-0.195,-0.105
338,-0.195,-0.105
339,-0.195,-0.115
340,-0.185,-0.115
341,-0.185,-0.105
342,-0.195,-0.115
343,-0.205,-0.125
344,-0.195,-0.125
345,-0.155,-0.095
346,-0.195,-0.135
347,-0.165,-0.105
348,-0.125,-0.085
349,-0.125,-0.115
350,-0.065,-0.085
351,0.035,-0.115
352,-0.045,-0.145
353,-0.105,-0.115
354,-0.135,-0.145
355,-0.165,-0.145
356,-0.195,-0.115
357,-0.195,-0.145
358,-0.195,-0.145
359,-0.205,-0.145
360,-0.195,-0.135
361,-0.175,-0.115
362,-0.185,-0.135
363,-0.195,-0.145
364,-0.185,-0.135
365,-0.175,-0.135
366,-0.165,-0.135
367,-0.175,-0.145
368,-0.145,-0.145
