'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,0.035,0.060
1,0.025,0.045
2,0.020,0.000
3,0.015,0.000
4,0.015,-0.030
5,0.010,-0.020
6,0.010,-0.035
7,0.015,-0.020
8,0.020,-0.020
9,0.025,-0.010
10,0.065,0.000
11,0.170,0.185
12,0.320,0.520
13,0.470,0.930
14,0.565,1.250
15,0.585,1.415
16,0.545,1.360
17,0.460,1.190
18,0.355,0.960
19,0.240,0.690
20,0.125,0.385
21,0.040,0.130
22,-0.005,-0.020
23,-0.045,-0.135
24,-0.080,-0.240
25,-0.095,-0.300
26,-0.095,-0.300
27,-0.095,-0.285
28,-0.095,-0.290
29,-0.095,-0.290
30,-0.105,-0.310
31,-0.105,-0.315
32,-0.100,-0.320
33,-0.100,-0.300
34,-0.105,-0.330
35,-0.110,-0.310
36,-0.115,-0.350
37,-0.115,-0.330
38,-0.120,-0.355
39,-0.130,-0.375
40,-0.130,-0.395
41,-0.130,-0.365
42,-0.130,-0.395
43,-0.120,-0.380
44,-0.105,-0.355
45,-0.080,-0.300
46,-0.045,-0.215
47,-0.010,-0.140
48,0.000,-0.075
49,0.010,-0.025
50,0.015,-0.005
51,0.020,-0.005
52,0.015,0.000
53,0.015,-0.030
54,0.015,-0.010
55,0.015,-0.030
56,0.015,-0.010
57,0.015,-0.035
58,0.015,-0.035
59,0.020,-0.025
60,0.010,-0.015
61,0.010,-0.035
62,0.010,-0.045
63,0.010,-0.045
64,0.010,-0.035
65,0.010,-0.035
66,0.010,-0.040
67,0.015,-0.025
68,0.015,-0.010
69,0.010,-0.010
70,0.010,-0.030
71,0.015,-0.020
72,0.015,-0.015
73,0.015,-0.010
74,0.015,-0.020
75,0.020,-0.020
76,0.020,-0.005
77,0.015,-0.005
78,0.015,-0.010
79,0.020,-0.005
80,0.025,0.000
81,0.030,0.025
82,0.035,0.060
83,0.035,0.035
84,0.030,0.075
85,0.020,0.025
86,0.015,0.020
87,0.010,-0.035
88,0.010,-0.030
89,0.010,-0.040
90,0.010,-0.020
91,0.015,-0.020
92,0.015,-0.010
93,0.015,-0.020
94,0.045,-0.005
95,0.140,0.110
96,0.285,0.440
97,0.440,0.850
98,0.555,1.200
99,0.595,1.415
100,0.560,1.390
101,0.490,1.240
102,0.390,1.030
103,0.270,0.775
104,0.140,0.440
105,0.045,0.155
106,-0.010,-0.020
107,-0.040,-0.140
108,-0.065,-0.220
109,-0.085,-0.265
110,-0.095,-0.295
111,-0.105,-0.315
112,-0.105,-0.320
113,-0.105,-0.325
114,-0.100,-0.305
115,-0.100,-0.315
116,-0.100,-0.295
117,-0.100,-0.320
118,-0.105,-0.315
119,-0.105,-0.335
120,-0.110,-0.330
121,-0.115,-0.345
122,-0.115,-0.350
123,-0.130,-0.370
124,-0.140,-0.405
125,-0.135,-0.410
126,-0.125,-0.395
127,-0.110,-0.355
128,-0.105,-0.335
129,-0.085,-0.305
130,-0.055,-0.250
131,-0.020,-0.155
132,0.000,-0.100
133,0.010,-0.035
134,0.015,-0.025
135,0.020,0.000
136,0.020,-0.015
137,0.015,-0.005
138,0.015,-0.030
139,0.015,-0.020
140,0.015,-0.025
141,0.015,-0.030
142,0.015,-0.035
143,0.015,-0.020
144,0.015,-0.030
145,0.015,-0.030
146,0.010,-0.035
147,0.010,-0.035
148,0.010,-0.045
149,0.005,-0.055
150,0.005,-0.045
151,0.010,-0.035
152,0.010,-0.020
153,0.015,-0.010
154,0.015,-0.010
155,0.015,-0.010
156,0.015,-0.015
157,0.015,-0.005
158,0.015,-0.020
159,0.015,-0.010
160,0.015,-0.020
161,0.015,-0.005
162,0.015,-0.025
163,0.020,0.005
164,0.020,0.010
165,0.020,0.035
166,0.025,0.010
167,0.030,0.065
168,0.030,0.055
169,0.025,0.040
170,0.020,0.000
171,0.020,0.000
172,0.020,-0.015
173,0.015,0.000
174,0.015,-0.020
175,0.015,-0.025
176,0.010,-0.020
177,0.010,-0.025
178,0.030,-0.020
179,0.105,0.050
180,0.245,0.355
181,0.405,0.730
182,0.540,1.155
183,0.600,1.400
184,0.580,1.430
185,0.515,1.290
186,0.420,1.105
187,0.300,0.850
188,0.175,0.550
189,0.070,0.230
190,0.010,0.030
191,-0.030,-0.105
192,-0.070,-0.215
193,-0.085,-0.260
194,-0.095,-0.285
195,-0.095,-0.295
196,-0.100,-0.305
197,-0.095,-0.300
198,-0.095,-0.300
199,-0.095,-0.290
200,-0.100,-0.310
201,-0.105,-0.315
202,-0.100,-0.320
203,-0.100,-0.300
204,-0.105,-0.310
205,-0.110,-0.340
206,-0.115,-0.340
207,-0.120,-0.360
208,-0.130,-0.380
209,-0.130,-0.405
210,-0.125,-0.390
211,-0.110,-0.365
212,-0.100,-0.320
213,-0.080,-0.340
214,-0.050,-0.230
215,-0.025,-0.190
216,0.000,-0.085
217,0.005,-0.055
218,0.015,-0.010
219,0.020,-0.010
220,0.020,0.005
221,0.020,-0.010
222,0.015,-0.010
223,0.015,-0.020
224,0.015,-0.020
225,0.015,-0.020
226,0.015,-0.020
227,0.015,-0.035
228,0.015,-0.040
229,0.020,-0.020
230,0.015,-0.010
231,0.010,-0.025
232,0.005,-0.045
233,0.005,-0.045
234,0.010,-0.050
235,0.010,-0.045
236,0.010,-0.040
237,0.015,-0.025
238,0.015,-0.010
239,0.015,-0.025
240,0.015,-0.035
241,0.015,-0.045
242,0.015,-0.020
243,0.015,-0.025
244,0.015,-0.015
245,0.015,-0.015
246,0.020,0.000
247,0.020,0.000
248,0.020,0.000
249,0.020,0.005
250,0.020,0.030
251,0.025,0.020
252,0.030,0.035
253,0.025,0.025
254,0.020,0.020
255,0.015,-0.010
256,0.010,-0.040
257,0.010,-0.040
258,0.010,-0.045
259,0.010,-0.025
260,0.010,-0.045
261,0.015,-0.020
262,0.020,-0.015
263,0.065,0.005
264,0.170,0.180
265,0.320,0.550
266,0.465,0.930
267,0.555,1.255
268,0.580,1.390
269,0.535,1.335
270,0.460,1.175
271,0.360,0.975
272,0.240,0.700
273,0.125,0.390
274,0.035,0.110
275,-0.015,-0.060
276,-0.055,-0.175
277,-0.080,-0.245
278,-0.090,-0.280
279,-0.100,-0.305
280,-0.100,-0.310
281,-0.095,-0.310
282,-0.095,-0.290
283,-0.095,-0.285
284,-0.105,-0.310
285,-0.105,-0.315
286,-0.105,-0.320
287,-0.105,-0.310
288,-0.105,-0.330
289,-0.105,-0.315
290,-0.110,-0.340
291,-0.120,-0.340
292,-0.135,-0.390
293,-0.130,-0.390
294,-0.125,-0.405
295,-0.120,-0.380
296,-0.110,-0.385
297,-0.090,-0.300
298,-0.065,-0.270
299,-0.045,-0.205
300,-0.015,-0.165
301,0.000,-0.075
302,0.005,-0.045
303,0.010,-0.025
304,0.015,-0.025
305,0.015,-0.025
306,0.015,-0.025
307,0.015,-0.025
308,0.015,-0.025
309,0.015,-0.040
310,0.015,-0.015
311,0.015,-0.025
312,0.015,-0.020
313,0.020,-0.020
314,0.010,-0.005
315,0.010,-0.035
316,0.010,-0.040
317,0.010,-0.045
318,0.010,-0.045
319,0.010,-0.035
320,0.015,-0.015
321,0.015,-0.015
322,0.015,-0.025
323,0.015,-0.025
324,0.015,-0.020
325,0.015,-0.010
326,0.020,-0.010
327,0.020,-0.005
