'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,0.150,0.040
1,0.140,0.020
2,0.140,0.020
3,0.130,0.010
4,0.150,0.010
5,0.160,0.020
6,0.120,0.010
7,0.150,0.010
8,0.130,0.020
9,0.110,0.030
10,0.110,0.020
11,0.090,0.020
12,0.050,0.010
13,0.100,0.030
14,0.040,0.030
15,0.040,0.010
16,0.060,0.040
17,0.040,0.040
18,0.060,0.040
19,0.050,0.040
20,0.010,0.050
21,0.050,0.050
22,0.060,0.060
23,0.040,0.070
24,0.070,0.060
25,0.050,0.070
26,0.030,0.060
27,0.070,0.050
28,0.040,0.060
29,0.030,0.060
30,0.050,0.060
31,0.020,0.060
32,0.020,0.040
33,0.030,0.050
34,-0.010,0.030
35,0.030,0.030
36,0.010,0.010
37,-0.020,0.020
38,0.000,0.010
39,0.000,0.010
40,-0.030,0.000
41,0.000,0.000
42,-0.020,-0.020
43,-0.030,-0.030
44,-0.020,-0.020
45,-0.030,-0.030
46,-0.040,-0.040
47,-0.020,-0.030
48,-0.060,-0.050
49,-0.020,-0.060
50,-0.040,-0.070
51,-0.070,-0.070
52,-0.040,-0.080
53,-0.050,-0.090
54,-0.070,-0.090
55,-0.060,-0.100
56,-0.070,-0.100
57,-0.090,-0.090
58,-0.040,-0.100
59,-0.080,-0.090
60,-0.090,-0.100
61,-0.060,-0.090
62,-0.080,-0.120
63,-0.070,-0.100
64,-0.060,-0.100
65,-0.090,-0.090
66,-0.060,-0.100
67,-0.070,-0.080
68,-0.100,-0.100
69,-0.050,-0.100
70,-0.070,-0.080
71,-0.090,-0.080
72,-0.070,-0.090
73,-0.090,-0.080
74,-0.090,-0.090
75,-0.050,-0.090
76,-0.080,-0.080
77,-0.080,-0.070
78,-0.060,-0.080
79,-0.080,-0.080
80,-0.060,-0.080
81,-0.070,-0.080
82,-0.100,-0.080
83,-0.070,-0.080
84,-0.070,-0.070
85,-0.090,-0.080
86,-0.060,-0.080
87,-0.080,-0.080
88,-0.080,-0.080
89,-0.060,-0.060
90,-0.090,-0.060
91,-0.100,-0.060
92,-0.050,-0.060
93,-0.070,-0.060
94,-0.080,-0.060
95,-0.070,-0.040
96,-0.100,-0.060
97,-0.050,-0.040
98,-0.070,-0.050
99,-0.100,-0.040
100,-0.050,-0.040
